,Acc,NumCorrect,NumPredicted,AccMatched,NumCorrectMatched,NumPredictedMatched
MFA_TrainNew,0.8107264748902974,33256.0,41020.0,0.8491751767478397,1081.0,1273.0
xVector,0.9458631983671144,39853.0,42134.0,0.9485793826250717,34755.0,36639.0
W2V2Base,0.7130393325387366,29912.0,41950.0,0.7483368489372059,18448.0,24652.0
xvectorNewNoLDA,0.9280801399573417,38726.0,41727.0,0.9383060763196384,28228.0,30084.0
xvectorNewWithLDA,0.931011354381258,38866.0,41746.0,0.9411176647005898,28242.0,30009.0
MFA_AlignOld,0.7879027239216813,32917.0,41778.0,0.8444714459295262,695.0,823.0
MFA_AlignNew,0.8344513597946384,34457.0,41293.0,0.8786737000753579,1166.0,1327.0
MFA_AdaptNew,0.8373157092018302,34587.0,41307.0,0.8821774794929157,1183.0,1341.0
MFA_Align_noSAT,0.7489235410027489,30786.0,41107.0,0.7972181551976574,1089.0,1366.0
MFA_TrainOld,0.880180859080633,29200.0,33175.0,0.8935605411885597,20870.0,23356.0
iVector,0.9340380144291843,38969.0,41721.0,0.9416531087504386,29518.0,31347.0
W2V2TrainedOld,0.9270835835956082,38588.0,41623.0,0.9357387326872021,29254.0,31263.0
W2V2TrainedNew,0.9270835835956082,38588.0,41623.0,0.9357387326872021,29254.0,31263.0
MFA_noSAT,0.880180859080633,29200.0,33175.0,0.8935605411885597,20870.0,23356.0
