,Phones,CorrectIndicator
0,sil,1
1,SH,1
2,IY,1
3,G,1
4,AA,1
5,T,1
6,M,1
7,AE,1
8,D,1
9,AH,1
10,N,1
11,D,0
12,P,1
13,UH,1
14,SH,1
15,T,1
16,DH,1
17,AH,1
18,B,1
19,OY,1
20,sil,1
21,sil,1
22,L,1
23,AA,1
24,K,1
25,sil,1
26,sil,1
27,B,1
28,EY,1
29,B,1
30,IY,1
31,S,1
32,AA,1
33,K,1
34,sil,1
35,sil,1
36,HH,1
37,AE,1
38,T,1
39,sil,1
40,sil,1
41,HH,1
42,IH,1
43,Z,0
44,F,1
45,IH,1
46,NG,1
47,G,1
48,ER,1
49,Z,1
50,AA,1
51,R,1
52,IH,1
53,N,1
54,R,1
55,AO,1
56,NG,1
57,sil,1
58,sil,1
59,M,1
60,AH,1
61,D,1
62,sil,1
63,sil,1
64,HH,1
65,AH,1
66,G,1
67,D,0
68,AE,1
69,D,0
70,IY,1
71,sil,1
72,sil,1
73,SH,1
74,IY,1
75,CH,1
76,UW,1
77,D,0
78,HH,0
79,ER,1
80,F,1
81,IH,1
82,NG,1
83,G,1
84,ER,1
85,Z,1
86,sil,1
87,sil,1
88,T,1
89,AY,1
90,DH,1
91,OW,1
92,Z,0
93,SH,1
94,UW,1
95,Z,1
96,sil,1
97,sil,1
98,HH,0
99,UW,1
100,T,1
101,sil,1
102,sil,1
103,HH,1
104,AA,1
105,T,1
106,sil,1
107,sil,1
108,DH,1
109,EY,1
110,L,1
111,IY,1
112,T,1
113,DH,1
114,OW,1
115,Z,1
116,HH,1
117,AA,1
118,T,0
119,D,1
120,AO,1
121,G,0
122,Z,0
123,S,1
124,UW,1
125,N,0
126,sil,1
127,sil,1
128,B,1
129,AO,1
130,L,1
131,sil,1
132,sil,1
133,T,0
134,EY,1
135,K,0
136,DH,0
137,AH,1
138,L,1
139,IH,1
140,D,1
141,sil,0
142,AO,1
143,F,1
144,DH,0
145,AH,1
146,P,0
147,AA,1
148,T,1
149,sil,1
150,sil,1
151,SH,1
152,IY,1
153,IH,1
154,Z,0
155,SH,1
156,OW,1
157,IH,1
158,NG,1
159,HH,0
160,IH,1
161,M,1
162,HH,1
163,AW,1
164,T,1
165,UW,1
166,JH,1
167,AH,0
168,M,1
169,P,1
170,sil,0
171,sil,1
172,S,1
173,EY,1
174,sil,0
175,G,1
176,UH,1
177,D,1
178,B,1
179,AY,1
180,sil,1
181,sil,1
182,DH,1
183,AH,1
184,S,1
185,AY,1
186,N,1
187,S,1
188,EH,1
189,Z,1
190,K,1
191,IY,1
192,P,0
193,AW,1
194,T,1
195,sil,1
196,sil,1
197,CH,1
198,UW,1
199,sil,1
200,sil,1
201,G,1
202,AE,1
203,DH,1
204,ER,1
205,DH,1
206,AH,1
207,T,1
208,OY,1
209,Z,1
210,sil,1
211,sil,1
212,DH,1
213,EH,1
214,R,1
215,Z,1
216,AH,1
217,P,1
218,L,1
219,EY,1
220,G,0
221,R,1
222,AW,1
223,N,1
224,D,0
225,N,0
226,IH,1
227,R,1
228,DH,1
229,AH,0
230,S,1
231,K,1
232,UW,1
233,L,1
234,sil,1
235,sil,1
236,L,0
237,IH,1
238,V,0
239,IH,1
240,NG,0
241,R,0
242,UW,0
243,M,1
244,sil,1
245,sil,1
246,K,1
247,AH,1
248,T,1
249,UW,1
250,S,1
251,M,1
252,AO,1
253,L,1
254,P,1
255,IY,1
256,S,1
257,AH,0
258,Z,1
259,sil,1
260,sil,1
261,B,1
262,AH,1
263,S,1
264,sil,1
265,sil,1
266,D,1
267,OW,1
268,N,0
269,T,1
270,L,1
271,EH,1
272,T,1
273,G,1
274,OW,1
275,sil,0
276,AO,1
277,R,1
278,IH,1
279,T,0
280,sil,0
281,W,1
282,IH,0
283,L,1
284,F,1
285,AO,1
286,L,1
287,sil,1
288,sil,1
289,DH,1
290,AE,1
291,T,1
292,B,1
293,EY,1
294,B,1
295,IY,1
296,IH,1
297,Z,1
298,L,0
299,ER,1
300,N,0
301,IH,0
302,NG,0
303,T,1
304,UW,1
305,T,1
306,AO,1
307,K,1
308,sil,1
309,sil,1
310,B,0
311,IY,1
312,sil,1
313,sil,1
314,B,1
315,OY,0
316,sil,1
317,sil,1
318,IY,1
319,T,1
320,sil,1
321,sil,1
322,T,1
323,EY,1
324,S,1
325,T,0
326,DH,0
327,AH,1
328,K,1
329,UH,1
330,K,1
331,IY,1
332,Z,1
333,DH,1
334,AE,1
335,T,0
336,SH,1
337,IY,1
338,B,1
339,sil,0
340,EY,1
341,K,0
342,T,1
343,sil,1
344,sil,1
345,M,0
346,EY,1
347,K,1
348,AH,0
349,sil,0
350,CH,1
351,EH,1
352,K,0
353,sil,0
354,B,1
355,IH,1
356,S,1
357,AY,1
358,D,1
359,DH,1
360,AH,1
361,T,1
362,UW,1
363,sil,1
364,sil,1
365,S,1
366,IY,1
367,T,1
368,sil,1
369,sil,1
370,HH,1
371,IY,1
372,L,1
373,AY,1
374,K,1
375,S,1
376,P,1
377,AH,1
378,T,1
379,EY,1
380,T,1
381,OW,1
