,Phones,CorrectIndicator
0,sil,1
1,SH,1
2,IY,1
3,G,1
4,AA,1
5,T,1
6,M,1
7,AE,1
8,D,1
9,AH,1
10,N,1
11,D,0
12,P,1
13,UH,1
14,SH,1
15,T,1
16,DH,1
17,AH,1
18,B,1
19,OY,1
20,sil,1
21,sil,1
22,L,1
23,AA,1
24,K,1
25,sil,1
26,sil,1
27,B,1
28,EY,1
29,B,1
30,IY,1
31,S,1
32,AA,1
33,K,1
34,sil,1
35,sil,1
36,HH,1
37,AE,1
38,T,1
39,sil,1
40,sil,1
41,HH,1
42,IH,1
43,Z,1
44,F,1
45,IH,1
46,NG,1
47,G,1
48,ER,1
49,Z,1
50,AA,1
51,R,1
52,IH,1
53,N,1
54,R,1
55,AO,1
56,NG,1
57,sil,1
58,sil,1
59,M,1
60,AH,1
61,D,1
62,sil,1
63,sil,1
64,HH,1
65,AH,1
66,G,1
67,D,0
68,AE,1
69,D,1
70,IY,1
71,sil,1
72,sil,1
73,SH,1
74,IY,1
75,CH,1
76,UW,1
77,D,1
78,HH,0
79,ER,1
80,F,1
81,IH,1
82,NG,1
83,G,0
84,ER,1
85,Z,1
86,sil,1
87,sil,1
88,T,1
89,AY,1
90,DH,1
91,OW,1
92,Z,1
93,SH,1
94,UW,1
95,Z,1
96,sil,1
97,sil,1
98,HH,0
99,UW,1
100,T,1
101,sil,1
102,sil,1
103,HH,1
104,AA,1
105,T,1
106,sil,1
107,sil,1
108,DH,1
109,EY,1
110,L,1
111,IY,1
112,T,1
113,DH,1
114,OW,1
115,Z,1
116,HH,0
117,AA,1
118,T,0
119,D,1
120,AO,1
121,G,0
122,Z,0
123,S,1
124,UW,1
125,N,1
126,sil,1
127,sil,1
128,B,1
129,AO,1
130,L,1
131,sil,1
132,sil,1
133,T,1
134,EY,1
135,K,0
136,DH,0
137,AH,1
138,L,1
139,IH,1
140,D,1
141,sil,0
142,AO,1
143,F,1
144,DH,1
145,AH,1
146,P,1
147,AA,1
148,T,1
149,sil,1
150,sil,1
151,SH,1
152,IY,1
153,IH,1
154,Z,0
155,SH,1
156,OW,1
157,IH,1
158,NG,1
159,HH,0
160,IH,1
161,M,1
162,HH,1
163,AW,1
164,T,1
165,UW,1
166,JH,1
167,AH,1
168,M,1
169,P,1
170,sil,1
171,sil,1
172,S,1
173,EY,1
174,G,1
175,UH,1
176,D,1
177,B,1
178,AY,1
179,sil,1
180,sil,1
181,DH,1
182,AH,1
183,S,1
184,AY,1
185,N,1
186,S,1
187,EH,1
188,Z,1
189,K,1
190,IY,1
191,P,0
192,AW,1
193,T,1
194,sil,1
195,sil,1
196,CH,1
197,UW,1
198,sil,1
199,sil,1
200,G,1
201,AE,1
202,DH,1
203,ER,1
204,DH,1
205,AH,1
206,T,1
207,OY,1
208,Z,1
209,sil,1
210,sil,1
211,DH,1
212,EH,1
213,R,1
214,Z,1
215,AH,1
216,P,1
217,L,1
218,EY,1
219,G,0
220,R,1
221,AW,1
222,N,1
223,D,0
224,N,1
225,IH,1
226,R,1
227,DH,1
228,AH,0
229,S,1
230,K,1
231,UW,1
232,L,1
233,sil,1
234,sil,1
235,L,0
236,IH,1
237,V,1
238,IH,0
239,NG,0
240,R,0
241,UW,0
242,M,1
243,sil,1
244,sil,1
245,K,1
246,AH,1
247,T,1
248,UW,1
249,S,1
250,M,1
251,AO,1
252,L,1
253,P,1
254,IY,1
255,S,1
256,AH,0
257,Z,1
258,sil,1
259,sil,1
260,B,1
261,AH,1
262,S,1
263,sil,1
264,sil,1
265,D,1
266,OW,1
267,N,1
268,T,0
269,L,1
270,EH,1
271,T,1
272,G,1
273,OW,1
274,sil,0
275,AO,1
276,R,1
277,IH,1
278,T,1
279,W,1
280,IH,1
281,L,1
282,F,1
283,AO,1
284,L,1
285,sil,1
286,sil,1
287,DH,0
288,AE,1
289,T,1
290,B,1
291,EY,1
292,B,1
293,IY,1
294,IH,1
295,Z,1
296,L,1
297,ER,1
298,N,0
299,IH,0
300,NG,1
301,T,1
302,UW,1
303,T,1
304,AO,1
305,K,1
306,sil,1
307,sil,1
308,B,1
309,IY,1
310,sil,1
311,sil,1
312,B,1
313,OY,1
314,sil,1
315,sil,1
316,IY,1
317,T,1
318,sil,1
319,sil,1
320,T,1
321,EY,1
322,S,1
323,T,0
324,DH,0
325,AH,1
326,K,1
327,UH,1
328,K,1
329,IY,1
330,Z,0
331,DH,0
332,AE,1
333,T,0
334,SH,1
335,IY,1
336,B,1
337,EY,1
338,K,0
339,T,1
340,sil,1
341,sil,1
342,M,0
343,EY,1
344,K,1
345,AH,0
346,sil,0
347,CH,1
348,EH,1
349,K,1
350,sil,0
351,B,1
352,IH,1
353,S,1
354,AY,1
355,D,1
356,DH,1
357,AH,1
358,T,1
359,UW,1
360,sil,1
361,sil,1
362,S,1
363,IY,1
364,T,1
365,sil,1
366,sil,1
367,HH,1
368,IY,1
369,L,1
370,AY,1
371,K,1
372,S,1
373,P,0
374,AH,1
375,T,1
376,EY,1
377,T,1
378,OW,1
379,CH,1
380,IH,1
381,P,1
