,Phones,CorrectIndicator
0,SH,1
1,IY,1
2,G,1
3,AA,1
4,T,0
5,M,1
6,AE,1
7,D,1
8,AH,1
9,N,0
10,D,0
11,P,1
12,UH,1
13,SH,1
14,T,1
15,DH,1
16,AH,1
17,B,1
18,OY,1
19,L,1
20,AA,1
21,K,1
22,B,1
23,EY,1
24,B,1
25,IY,1
26,S,1
27,AA,1
28,K,0
29,HH,1
30,AE,0
31,T,0
32,HH,1
33,IH,1
34,Z,1
35,F,1
36,IH,1
37,NG,1
38,G,1
39,ER,1
40,Z,1
41,ER,0
42,IH,1
43,N,1
44,R,1
45,AO,1
46,NG,0
47,M,1
48,AH,1
49,D,1
50,HH,1
51,AH,1
52,G,0
53,D,0
54,AE,1
55,D,0
56,IY,1
57,SH,1
58,IY,1
59,CH,1
60,UW,0
61,D,1
62,HH,1
63,ER,1
64,F,1
65,IH,0
66,NG,1
67,G,1
68,ER,1
69,Z,1
70,T,1
71,AY,1
72,DH,1
73,OW,1
74,Z,0
75,SH,1
76,UW,0
77,Z,1
78,HH,1
79,UW,1
80,T,1
81,HH,1
82,AA,1
83,T,1
84,B,1
85,AO,1
86,L,1
87,T,1
88,EY,1
89,K,1
90,DH,0
91,AH,1
92,L,0
93,IH,1
94,D,0
95,AO,1
96,F,1
97,DH,1
98,AH,1
99,P,0
100,AA,0
101,T,1
102,SH,1
103,IY,1
104,IH,1
105,Z,0
106,SH,1
107,OW,1
108,IH,0
109,NG,1
110,IH,1
111,M,1
112,HH,1
113,AW,1
114,T,0
115,IH,0
116,JH,1
117,AH,0
118,M,0
119,P,1
120,S,1
121,EY,1
122,G,1
123,UH,1
124,D,1
125,B,1
126,AY,1
127,DH,1
128,AH,1
129,S,1
130,AY,1
131,N,1
132,S,1
133,EH,1
134,Z,1
135,K,1
136,IY,1
137,P,1
138,AW,1
139,T,1
140,CH,1
141,UW,1
142,G,1
143,AE,1
144,DH,1
145,ER,1
146,DH,1
147,AH,1
148,T,1
149,OY,1
150,Z,1
151,DH,1
152,EH,1
153,R,1
154,Z,1
155,AH,1
156,P,1
157,L,1
158,EY,1
159,G,1
160,R,1
161,AW,0
162,N,1
163,D,1
164,N,1
165,IH,1
166,R,1
167,DH,1
168,AH,0
169,S,1
170,K,1
171,UW,0
172,L,1
173,L,1
174,IH,0
175,V,0
176,IH,0
177,NG,1
178,R,0
179,UW,0
180,M,1
181,K,1
182,AH,1
183,T,1
184,UW,1
185,S,1
186,M,1
187,AO,1
188,L,1
189,P,1
190,IY,1
191,S,1
192,IH,1
193,Z,1
194,B,1
195,AH,1
196,S,1
197,B,1
198,IY,1
199,HH,1
200,IY,0
201,W,1
202,AY,1
203,N,1
204,D,0
205,Z,1
206,AH,1
207,P,1
208,DH,1
209,AH,1
210,T,1
211,OY,1
212,G,1
213,OW,1
214,S,1
215,T,1
216,B,1
217,OY,1
218,IY,1
219,T,1
220,T,1
221,EY,1
222,S,1
223,T,0
224,DH,1
225,AH,0
226,K,1
227,UH,1
228,K,1
229,IY,1
230,Z,1
231,DH,1
232,AE,1
233,T,0
234,SH,1
235,IY,1
236,B,0
237,EY,1
238,K,1
239,T,0
240,M,0
241,EY,0
242,K,1
243,AH,0
244,CH,1
245,EH,1
246,K,0
247,B,1
248,IH,1
249,S,1
250,AY,1
251,D,1
252,DH,1
253,AH,1
254,T,1
255,UW,1
256,S,1
257,IY,1
258,T,1
259,HH,1
260,IY,1
261,L,1
262,AY,1
263,K,1
264,S,1
265,P,0
266,AH,1
267,T,1
268,EY,1
269,T,0
270,OW,1
271,CH,1
272,IH,1
273,P,1
274,S,1
275,DH,1
276,AE,1
277,T,1
278,IH,1
279,Z,1
280,HH,1
281,ER,1
282,D,1
283,AO,1
284,G,0
285,T,1
286,AY,1
287,P,0
288,G,1
289,IH,1
290,T,1
291,AO,1
292,F,0
293,SH,1
294,IY,1
295,L,1
296,AE,1
297,F,1
298,T,1
299,AE,1
300,T,0
301,HH,0
302,IH,0
303,Z,1
304,F,0
305,AH,1
306,N,1
307,IY,0
308,JH,1
309,OW,1
310,K,0
311,S,1
312,W,1
313,EY,0
314,T,1
315,S,1
316,N,1
317,OW,1
318,HH,1
319,IY,1
320,W,1
321,AO,1
322,N,1
323,T,1
324,S,1
325,AH,1
326,M,1
327,B,0
328,AH,0
329,D,0
330,IY,1
331,T,1
332,AH,1
333,P,1
334,UH,1
335,SH,1
336,HH,0
337,IH,1
338,M,1
339,W,1
340,EH,1
341,R,1
342,AH,1
343,K,1
344,AW,1
345,B,1
346,OY,1
347,HH,1
348,AE,0
349,T,1
350,B,0
351,EY,1
352,B,1
353,IY,1
354,L,1
355,AY,1
356,K,1
357,S,1
358,HH,1
359,IH,1
360,Z,1
361,N,1
362,UW,1
363,T,1
364,OY,1
365,B,1
366,IH,1
367,G,1
368,P,0
369,AH,1
370,T,1
371,EY,1
372,T,1
373,OW,1
374,D,1
375,AO,1
376,K,1
377,T,1
378,ER,1
379,B,1
380,AE,1
381,G,1
382,B,1
383,IY,1
384,V,1
385,EH,1
386,R,1
387,IY,1
388,K,1
389,W,0
390,AY,1
391,AH,1
392,T,1
393,W,1
394,IH,0
395,N,0
396,B,1
397,EY,1
398,B,1
399,IY,1
400,IH,1
401,Z,1
402,S,1
403,L,1
404,IY,1
405,P,1
406,IH,1
407,NG,1
408,DH,1
409,AH,1
410,L,1
411,AW,1
412,D,0
413,N,1
414,OY,1
415,Z,0
416,S,0
417,K,1
418,EH,1
419,R,1
420,D,0
421,DH,0
422,AH,1
423,K,1
424,AE,1
425,T,1
426,AH,0
427,W,0
428,EY,1
429,T,1
430,AY,1
431,AH,1
432,P,0
433,DH,1
434,AH,1
435,G,1
436,AA,1
437,R,1
438,B,1
439,IH,1
440,JH,1
441,B,1
442,AE,0
443,G,1
444,K,1
445,AH,1
446,M,1
447,HH,0
448,IY,1
449,G,1
450,EY,1
451,V,1
452,M,1
453,AA,1
454,M,1
455,IY,1
456,AH,1
457,B,1
458,ER,1
459,TH,0
460,D,0
461,EY,0
462,K,1
463,AA,1
464,R,0
465,D,1
466,P,1
467,AE,1
468,N,0
