,Phones,CorrectIndicator
0,sil,1
1,SH,1
2,IY,1
3,G,1
4,AA,1
5,T,1
6,M,1
7,AE,1
8,D,1
9,AH,1
10,N,1
11,P,1
12,UH,1
13,SH,1
14,T,1
15,DH,1
16,AH,1
17,B,1
18,OY,1
19,sil,1
20,sil,1
21,L,1
22,AA,1
23,K,1
24,sil,1
25,sil,1
26,B,1
27,EY,1
28,B,1
29,IY,1
30,S,1
31,AA,1
32,K,1
33,sil,1
34,sil,1
35,HH,1
36,AE,1
37,T,0
38,sil,1
39,sil,1
40,HH,1
41,IH,1
42,Z,1
43,F,1
44,IH,1
45,NG,1
46,G,1
47,ER,1
48,Z,1
49,AA,1
50,R,1
51,IH,1
52,N,1
53,R,1
54,AO,1
55,NG,1
56,sil,1
57,sil,1
58,M,1
59,AH,1
60,D,1
61,sil,1
62,sil,1
63,HH,1
64,AH,1
65,G,1
66,D,0
67,AE,1
68,D,1
69,IY,1
70,sil,1
71,sil,1
72,SH,1
73,IY,1
74,CH,1
75,UW,1
76,D,1
77,HH,0
78,ER,1
79,F,1
80,IH,1
81,NG,1
82,G,0
83,ER,1
84,Z,1
85,sil,1
86,sil,1
87,T,1
88,AY,1
89,DH,1
90,OW,1
91,Z,1
92,SH,1
93,UW,1
94,Z,1
95,sil,1
96,sil,1
97,HH,0
98,UW,1
99,T,1
100,sil,1
101,sil,1
102,HH,1
103,AA,0
104,T,1
105,sil,1
106,sil,1
107,DH,1
108,EY,1
109,L,1
110,IY,1
111,T,1
112,DH,1
113,OW,1
114,Z,1
115,HH,1
116,AA,1
117,T,0
118,D,1
119,AO,1
120,G,0
121,Z,0
122,S,1
123,UW,1
124,N,1
125,sil,1
126,sil,1
127,B,1
128,AO,1
129,L,1
130,sil,1
131,sil,1
132,T,1
133,EY,1
134,K,0
135,DH,0
136,AH,1
137,L,1
138,IH,1
139,D,1
140,sil,0
141,AO,1
142,F,0
143,sil,0
144,DH,1
145,AH,1
146,P,0
147,AA,1
148,T,1
149,sil,1
150,sil,1
151,SH,1
152,IY,1
153,IH,1
154,Z,0
155,SH,1
156,OW,1
157,IH,1
158,NG,1
159,IH,1
160,M,1
161,HH,1
162,AW,1
163,T,1
164,UW,1
165,JH,1
166,AH,1
167,M,1
168,P,1
169,sil,1
170,S,1
171,EY,1
172,G,1
173,UH,1
174,D,1
175,B,1
176,AY,1
177,sil,1
178,sil,1
179,DH,1
180,AH,1
181,S,1
182,AY,1
183,N,1
184,S,1
185,EH,1
186,Z,1
187,K,1
188,IY,1
189,P,1
190,AW,1
191,T,1
192,sil,1
193,sil,1
194,CH,1
195,UW,1
196,sil,1
197,sil,1
198,G,1
199,AE,1
200,DH,1
201,ER,1
202,DH,1
203,AH,1
204,T,1
205,OY,1
206,Z,1
207,sil,1
208,sil,1
209,DH,1
210,EH,1
211,R,1
212,Z,1
213,AH,1
214,P,1
215,L,1
216,EY,1
217,G,0
218,R,1
219,AW,1
220,N,1
221,D,0
222,N,1
223,IH,1
224,R,1
225,DH,1
226,IY,0
227,S,1
228,K,1
229,UW,1
230,L,1
231,sil,1
232,sil,1
233,L,1
234,IH,0
235,V,1
236,IH,0
237,NG,1
238,R,0
239,UW,1
240,M,1
241,sil,1
242,sil,1
243,K,1
244,AH,1
245,T,1
246,UW,1
247,S,1
248,M,1
249,AO,1
250,L,1
251,P,1
252,IY,1
253,S,1
254,IH,1
255,Z,1
256,sil,1
257,sil,1
258,B,1
259,AH,1
260,S,1
261,sil,1
262,sil,1
263,D,1
264,OW,1
265,N,0
266,T,0
267,L,1
268,EH,1
269,T,1
270,G,1
271,OW,1
272,sil,0
273,AO,1
274,R,1
275,IH,1
276,T,1
277,W,1
278,IH,1
279,L,1
280,F,1
281,AO,1
282,L,1
283,sil,1
284,sil,1
285,DH,1
286,AE,1
287,T,1
288,B,1
289,EY,1
290,B,1
291,IY,1
292,IH,1
293,Z,1
294,L,1
295,ER,1
296,N,0
297,IH,1
298,NG,1
299,T,1
300,UW,1
301,T,1
302,AO,1
303,K,1
304,sil,1
305,sil,1
306,B,1
307,IY,1
308,sil,1
309,sil,1
310,HH,1
311,IY,0
312,W,1
313,AY,1
314,N,1
315,D,0
316,Z,1
317,AH,1
318,P,1
319,DH,1
320,AH,1
321,T,1
322,OY,1
323,G,1
324,OW,1
325,S,1
326,T,1
327,sil,1
328,sil,1
329,B,1
330,OY,1
331,sil,1
332,sil,1
333,IY,1
334,T,1
335,sil,1
336,sil,1
337,G,1
338,IH,1
339,T,0
340,sil,0
341,DH,1
342,AH,1
343,M,1
344,S,1
345,AH,1
346,M,1
347,K,1
348,AO,1
349,F,1
350,IY,1
351,sil,1
352,sil,1
353,T,1
354,EY,1
355,S,1
356,T,0
357,DH,0
358,AH,1
359,K,1
360,UH,1
361,K,1
362,IY,1
363,Z,1
364,DH,0
365,AE,0
366,T,0
367,SH,1
368,IY,1
369,B,1
370,EY,1
371,K,0
372,T,0
373,sil,1
374,sil,1
375,B,1
376,OW,1
377,TH,1
378,F,1
379,EY,1
380,S,1
381,IH,1
