,Acc_xvector,NumCorrect_xvector,NumPredicted_xvector,AccMatched_xvector,NumCorrectMatched_xvector,NumPredictedMatched_xvector,Acc_ivector,NumCorrect_ivector,NumPredicted_ivector,AccMatched_ivector,NumCorrectMatched_ivector,NumPredictedMatched_ivector,Acc_frame,NumCorrect_frame,NumPredicted_frame,AccMatched_frame,NumCorrectMatched_frame,NumPredictedMatched_frame,Acc_mfa_base,NumCorrect_mfa_base,NumPredicted_mfa_base,AccMatched_mfa_base,NumCorrectMatched_mfa_base,NumPredictedMatched_mfa_base,Acc_mfa_train,NumCorrect_mfa_train,NumPredicted_mfa_train,AccMatched_mfa_train,NumCorrectMatched_mfa_train,NumPredictedMatched_mfa_train,Age
0500_M_QA,0.9130052724077329,"(1039,)","(1138,)","(0.9093539054966249,)","(943,)",1037,0.905393457117595,"(1024,)","(1131,)","(0.9079445145018915,)","(720,)",793,0.8729037952338923,"(989,)","(1133,)","(0.8819095477386935,)","(702,)",796,0.7358695652173913,"(677,)","(920,)","(0.7309941520467836,)","(375,)",513,0.8478260869565217,"(780,)","(920,)","(0.8490566037735849,)","(450,)",530,5.0
0308_F_AGL,0.9581911262798635,"(1123,)","(1172,)","(0.9580552907530981,)","(1005,)",1049,0.9439171699741156,"(1094,)","(1159,)","(0.9504447268106735,)","(748,)",787,0.9403114186851211,"(1087,)","(1156,)","(0.9452229299363057,)","(742,)",785,0.7781350482315113,"(726.0,)","(933,)","(0.7865961199294532,)","(446,)",567,0.9040948275862069,"(839.0,)","(928,)","(0.9183673469387755,)","(495,)",539,3.6666666666666665
0609_M_MN,0.9476843910806175,"(1105,)","(1166,)","(0.9539347408829175,)","(994,)",1042,0.9241379310344827,"(1072,)","(1160,)","(0.9381188118811881,)","(758,)",808,0.9127806563039723,"(1057,)","(1158,)","(0.929368029739777,)","(750,)",807,0.76033934252386,"(717.0,)","(943,)","(0.7674050632911392,)","(485,)",632,0.8856837606837606,"(829.0,)","(936,)","(0.8946564885496183,)","(586,)",655,6.75
0307_M_EC,0.9702233250620348,"(391,)","(403,)","(0.9693877551020408,)","(380,)",392,0.957286432160804,"(381,)","(398,)","(0.9540540540540541,)","(353,)",370,0.946969696969697,"(375,)","(396,)","(0.9456521739130435,)","(348,)",368,0.8,"(220.0,)","(275,)","(0.8016194331983806,)","(198,)",247,0.9420289855072463,"(260.0,)","(276,)","(0.939622641509434,)","(249,)",265,3.5833333333333335
0603_F_CM,0.9618456078083407,"(1084,)","(1127,)","(0.96318407960199,)","(968,)",1005,0.9477477477477477,"(1052,)","(1110,)","(0.9592391304347826,)","(706,)",736,0.9377256317689531,"(1039,)","(1108,)","(0.9455040871934605,)","(694,)",734,0.8004434589800443,"(722.0,)","(902,)","(0.8109965635738832,)","(472,)",582,0.8860619469026548,"(801.0,)","(904,)","(0.9185303514376997,)","(575,)",626,6.25
0305_F_AN,0.9152542372881356,"(486,)","(531,)","(0.9188118811881189,)","(464,)",505,0.9082217973231358,"(475,)","(523,)","(0.9247058823529412,)","(393,)",425,0.8826923076923077,"(459,)","(520,)","(0.9002375296912114,)","(379,)",421,0.7440633245382586,"(282.0,)","(379,)","(0.7384615384615385,)","(240,)",325,0.8578947368421053,"(326.0,)","(380,)","(0.8637770897832817,)","(279,)",323,3.4166666666666665
0402_M_ON,0.9223706176961602,"(1105,)","(1198,)","(0.9234360410831,)","(989,)",1071,0.911690496215307,"(1084,)","(1189,)","(0.9305210918114144,)","(750,)",806,0.9158163265306123,"(1077,)","(1176,)","(0.9396984924623115,)","(748,)",796,0.7630736392742796,"(715.0,)","(937,)","(0.7873376623376623,)","(485,)",616,0.8747323340471093,"(817.0,)","(934,)","(0.9042735042735043,)","(529,)",585,4.166666666666667
0611_F_AP,0.9578675838349097,"(1114,)","(1163,)","(0.9567723342939481,)","(996,)",1041,0.9476439790575916,"(1086,)","(1146,)","(0.9474327628361858,)","(775,)",818,0.945993031358885,"(1086,)","(1148,)","(0.9462759462759462,)","(775,)",819,0.792332268370607,"(744.0,)","(939,)","(0.7783251231527094,)","(474,)",609,0.8994652406417112,"(841.0,)","(935,)","(0.9077901430842608,)","(571,)",629,6.916666666666667
0500_M_WD,0.9155172413793103,"(1062,)","(1160,)","(0.9214354995150339,)","(950,)",1031,0.9067131647776809,"(1040,)","(1147,)","(0.92643391521197,)","(743,)",802,0.8879235447437012,"(1022,)","(1151,)","(0.9113607990012484,)","(730,)",801,0.7654723127035831,"(705.0,)","(921,)","(0.7591463414634146,)","(498,)",656,0.8796498905908097,"(804.0,)","(914,)","(0.9121405750798722,)","(571,)",626,5.0
0609_F_AK,0.9502304147465438,"(1031,)","(1085,)","(0.9490644490644491,)","(913,)",962,0.9451672862453532,"(1017,)","(1076,)","(0.9612015018773467,)","(768,)",799,0.9553903345724907,"(1028,)","(1076,)","(0.9637046307884856,)","(770,)",799,0.806674338319908,"(701.0,)","(869,)","(0.8240131578947368,)","(501,)",608,0.9108796296296297,"(787.0,)","(864,)","(0.9319727891156463,)","(548,)",588,6.75
