,gt,mfa,frame,ivector,xvector
AA,0.0,5.582922824302135,1.2048192771084338,1.5060240963855422,1.1594202898550725
AE,0.20833333333333334,2.600216684723727,0.9977827050997783,0.5543237250554324,1.0416666666666667
AH,1.9634703196347032,6.70908039329092,4.364023416711016,3.1931878658861095,3.7003197807217907
AO,0.13831258644536654,9.221311475409836,1.4240506329113924,0.7911392405063291,0.554016620498615
AW,0.0,2.272727272727273,0.205761316872428,0.0,0.205761316872428
AY,0.0,0.5076142131979695,0.17825311942959002,0.17825311942959002,0.16835016835016836
B,36.56898656898657,6.64576802507837,33.37408312958435,34.3520782396088,34.49328449328449
CH,0.0,7.755102040816326,0.40816326530612246,0.8163265306122449,0.40816326530612246
D,19.43661971830986,17.46894409937888,20.987654320987655,18.736383442265794,17.02279202279202
DH,29.88593155893536,16.178736517719567,34.05909797822706,29.082426127527217,26.884996191926884
EH,1.2170385395537526,3.9627039627039626,2.575107296137339,3.004291845493562,2.2357723577235773
ER,0.11350737797956867,3.865336658354115,1.171875,0.13020833333333334,0.5675368898978433
EY,0.10416666666666667,2.1664766248574687,1.0178117048346056,1.0178117048346056,0.8254716981132075
F,2.380952380952381,2.8662420382165603,4.617834394904459,2.5477707006369426,2.2257551669316373
G,17.520491803278688,5.732484076433121,18.442622950819672,14.344262295081966,16.0
HH,8.936170212765957,8.584905660377359,10.21355617455896,8.72794800371402,9.787234042553191
IH,1.5017064846416381,10.12448132780083,2.9736618521665252,2.293967714528462,3.0737704918032787
IY,0.23255813953488372,6.657963446475196,1.0448678549477566,0.6765067650676507,1.280558789289872
JH,1.932367149758454,6.280193236714976,6.280193236714976,4.830917874396135,3.864734299516908
K,8.767123287671232,3.427004797806717,12.063056888279643,7.539410555174777,8.36189170664839
L,2.2172949002217295,8.758314855875831,2.882483370288248,2.9933481152993346,0.9977827050997783
M,1.1029411764705883,8.21078431372549,4.28921568627451,2.2058823529411766,2.457002457002457
N,1.5260323159784561,11.267605633802816,4.430379746835443,3.0741410488245933,1.6157989228007181
NG,0.2702702702702703,5.675675675675675,2.4324324324324325,1.6216216216216217,1.6216216216216217
OW,0.0,1.763668430335097,1.486988847583643,1.1152416356877324,0.8665511265164645
OY,0.0,5.651105651105651,0.7371007371007371,0.4914004914004914,0.0
P,11.654135338345865,1.6917293233082706,15.131578947368421,10.808270676691729,10.526315789473685
R,2.1814006888633752,18.726114649681527,3.755868544600939,3.9906103286384975,3.0998851894374284
S,2.012491325468425,22.15277777777778,2.252906976744186,1.380813953488372,0.7267441860465116
SH,0.0,11.009174311926605,0.9174311926605505,0.6880733944954128,0.22935779816513763
T,12.992545260915868,10.503121557106134,12.137310993052717,9.975470155355683,11.436597110754414
TH,1.1494252873563218,7.6923076923076925,1.932367149758454,0.4830917874396135,1.932367149758454
UH,1.3089005235602094,4.266666666666667,3.6649214659685865,1.8324607329842932,1.3089005235602094
UW,0.0,1.2944983818770226,0.4437869822485207,0.8875739644970414,0.5908419497784343
V,0.8130081300813008,9.34959349593496,3.658536585365854,3.252032520325203,1.2195121951219512
W,2.658486707566462,15.082644628099173,3.512396694214876,2.272727272727273,2.2540983606557377
Y,4.25531914893617,0.0,2.380952380952381,4.761904761904762,12.76595744680851
Z,1.9409282700421941,20.859444941808416,3.7130801687763713,3.2911392405063293,2.5316455696202533
