,sessionStepId,session.sessionId,steps.stepId,steps.filePath,steps.stepCategory,steps.prompt,start_time_groundtruth,end_time_groundtruth,session.sessionScriptId,steps.name,steps.sequenceNumber,steps.elicitType,session.language,sessionId,stepId,RatePhonationStepMaxVoicedDuration,RatePhonationStepMaxVoicedDurationNoAmbient,RatePhonationStepPauseCount,RatePhonationStepPauseCountNoAmbient,RatePhonationStepPauseMean,RatePhonationStepPauseMeanNoAmbient,RatePhonationStepPausePercent,RatePhonationStepPausePercentNoAmbient,RatePhonationStepSpeechEndTime,RatePhonationStepSpeechEndTimeNoAmbient,RatePhonationStepSpeechStartTime,RatePhonationStepSpeechStartTimeNoAmbient,RatePhonationStepSpeechTotalDuration,RatePhonationStepSpeechTotalDurationNoAmbient,RatePhonationStepTotalVoicedDuration,RatePhonationStepTotalVoicedDurationNoAmbient,RateSentenceStepArticulationSpeed,RateSentenceStepArticulationSpeedNoAmbient,RateSentenceStepMaxVoicedDuration,RateSentenceStepMaxVoicedDurationNoAmbient,RateSentenceStepPauseCount,RateSentenceStepPauseCountNoAmbient,RateSentenceStepPauseMean,RateSentenceStepPauseMeanNoAmbient,RateSentenceStepPausePercent,RateSentenceStepPausePercentNoAmbient,RateSentenceStepSpeechEndTime,RateSentenceStepSpeechEndTimeNoAmbient,RateSentenceStepSpeechSpeed,RateSentenceStepSpeechSpeedNoAmbient,RateSentenceStepSpeechStartTime,RateSentenceStepSpeechStartTimeNoAmbient,RateSentenceStepTotalSpeechDuration,RateSentenceStepTotalSpeechDurationNoAmbient,RateSentenceStepTotalVoicedDuration,RateSentenceStepTotalVoicedDurationNoAmbient,asr_engine_aws,asr_start_time_aws,asr_end_time_aws,transcript_aws,asr_engine_google,asr_start_time_google,asr_end_time_google,transcript_google
0,1038-20171110-0958-7,1038-20171110-0958,7,/home/prad/datasets/phonation_data/1038-20171110-0958-7.wav,phonation,"Say ""aaah""",0.04992,9.98383,vad_analysis,7,7,speech,en-us,1038-20171110-0958,7.0,9.75,9.42,0.0,0.0,0.0,0.0,0.0,0.0,9.9625,9.735,0.2125000000000004,0.315,9.75,9.42,9.75,9.42,,,9.75,8.82,0.0,0.0,0.0,0.0,0.0,0.0,9.9625,9.39,,,0.2125000000000004,0.57,9.75,8.82,9.75,8.82,aws,5.12,9.17,keyboard clacks.,google,,,
1,1030-20170913-1939-7,1030-20170913-1939,7,/home/prad/datasets/phonation_data/1030-20170913-1939-7.wav,phonation,"Say ""aaah""",0.27194,26.23334,vad_analysis,7,7,speech,en-us,1030-20170913-1939,7.0,15.614999999999998,15.615,1.0,1.0,0.240000000000002,0.2400000000000002,0.0104106419895894,0.0104166666666667,26.194125,26.19,0.259125,0.27,25.935,25.92,25.665,25.65,,,25.935,8.895,0.0,6.0,0.0,1.4325,0.0,0.3389339513325609,26.194125,26.16,,,0.259125,0.27,25.935,25.89,25.935,17.115,aws,0.14,26.36,"Oh, oh!",google,,,
2,1030-20170914-1726-7,1030-20170914-1726,7,/home/prad/datasets/phonation_data/1030-20170914-1726-7.wav,phonation,"Say ""aaah""",0.2485,27.09658,vad_analysis,7,7,speech,en-us,1030-20170914-1726,7.0,26.835,26.82,0.0,0.0,0.0,0.0,0.0,0.0,27.08775,27.075,0.2527499999999993,0.255,26.835,26.82,26.835,26.82,,,26.85,5.399999999999999,0.0,12.0,0.0,1.28875,0.0,0.5900447427293066,27.08775,27.075,,,0.2377499999999997,0.255,26.85,26.82,26.85,10.994999999999996,aws,0.14,27.35,00!,google,,,
3,1023-20170924-0814-7,1023-20170924-0814,7,/home/prad/datasets/phonation_data/1023-20170924-0814-7.wav,phonation,"Say ""aaah""",1.5536,28.30063,vad_analysis,7,7,speech,en-us,1023-20170924-0814,7.0,26.7,26.625,0.0,0.0,0.0,0.0,0.0,0.0,28.2808125,28.215,1.5808124999999995,1.59,26.7,26.625,26.7,26.625,,,26.7,7.125,0.0,11.0,0.0,0.6218181818181824,0.0,0.2706681766704418,28.2808125,28.065,,,1.5808124999999995,1.575,26.7,26.49,26.7,19.32,aws,0.24,29.85,Mm hmm.,google,,,
4,1047-20180213-1807-7,1047-20180213-1807,7,/home/prad/datasets/phonation_data/1047-20180213-1807-7.wav,phonation,"Say ""aaah""",1.2379,23.07579,vad_analysis,7,7,speech,en-us,1047-20180213-1807,7.0,19.65000000000001,3.12,1.0,14.0,0.1650000000000062,0.7425000000000003,0.0089655172413789,0.5668238993710691,23.012125,20.415,1.2621249999999993,1.335,21.75,19.08,21.55500000000001,8.265,,,21.75,9.989999999999998,0.0,7.0,0.0,0.5528571428571435,0.0,0.1908771929824564,23.012125,22.665,,,1.2621249999999993,1.29,21.75,21.375,21.75,17.294999999999995,aws,,,,google,,,
5,1037-20170831-0911-7,1037-20170831-0911,7,/home/prad/datasets/phonation_data/1037-20170831-0911-7.wav,phonation,"Say ""aaah""",0.01149,26.26701,vad_analysis,7,7,speech,en-us,1037-20170831-0911,7.0,26.13000000000001,25.66500000000001,0.0,0.0,0.0,0.0,0.0,0.0,26.13225000000001,25.725,0.00225,0.06,26.13000000000001,25.66500000000001,26.13000000000001,25.66500000000001,,,26.175,13.230000000000002,0.0,5.0,0.0,1.2480000000000002,0.0,0.2654205607476636,26.17725,25.725,,,0.00225,1.65,26.175,24.07500000000001,26.175,17.685000000000006,aws,2.83,3.87,What about about,google,,,
6,1035-20171020-1854-7,1035-20171020-1854,7,/home/prad/datasets/phonation_data/1035-20171020-1854-7.wav,phonation,"Say ""aaah""",,,vad_analysis,7,7,speech,en-us,1035-20171020-1854,7.0,0.915,,0.0,,0.0,,0.0,,0.9558749999999998,,0.0408749999999997,,0.915,,0.915,,,,1.650000000000002,,2.0,,3.4575,,0.7045454545454545,,9.925875,,,,0.025875,,9.900000000000002,,2.9250000000000016,,aws,,,,google,,,
7,1023-20170925-2105-7,1023-20170925-2105,7,/home/prad/datasets/phonation_data/1023-20170925-2105-7.wav,phonation,"Say ""aaah""",1.85555,29.81545,vad_analysis,7,7,speech,en-us,1023-20170925-2105,7.0,27.96,25.035,1.0,1.0,0.8099999999999996,0.5399999999999991,0.0288362512873326,0.0204081632653061,29.7945,29.775,0.6644999999999994,1.845,29.13,27.93,28.29,27.36,,,27.96,13.275,1.0,5.0,0.8099999999999996,0.807,0.0283400809716599,0.1498388829215899,29.7945,29.775,,,0.1544999999999996,1.845,29.64,27.93,28.8,23.744999999999997,aws,0.14,5.64,Oh!,google,,,
8,1018-20170715-2349-7,1018-20170715-2349,7,/home/prad/datasets/phonation_data/1018-20170715-2349-7.wav,phonation,"Say ""aaah""",1.62982,17.83602,vad_analysis,7,7,speech,en-us,1018-20170715-2349,7.0,16.155,15.6,0.0,1.0,0.0,0.2099999999999973,0.0,0.0149532710280372,17.7838125,17.73,1.6288125,1.68,16.155,16.05,16.155,15.810000000000002,,,16.125,13.545,0.0,1.0,0.0,0.8549999999999986,0.0,0.060204081632653,17.7688125,16.38,,,1.6438125000000006,1.68,16.125,14.7,16.125,13.815,aws,,,,google,,,
9,1037-20170826-1501-7,1037-20170826-1501,7,/home/prad/datasets/phonation_data/1037-20170826-1501-7.wav,phonation,"Say ""aaah""",0.01211,29.860440000000004,vad_analysis,7,7,speech,en-us,1037-20170826-1501,7.0,29.76,26.04,0.0,5.0,0.0,0.5010000000000001,0.0,0.0892586989409985,29.76325000000001,29.82,0.0032499999999999,0.075,29.76,29.745,29.76,27.09,,,29.76,20.700000000000006,0.0,3.0,0.0,2.78,0.0,0.2839818089944415,29.76325000000001,29.82,,,0.0032499999999999,0.135,29.76,29.685,29.76,21.25500000000001,aws,0.0,2.76,"Oh, uh",google,,,
